,im_paths,ma_paths,white_pixels,corrupted
40,masachussetts/images/10678735_15.tiff,masachussetts/groundtruth/10678735_15.tif,84,False
41,masachussetts/images/10678750_15.tiff,masachussetts/groundtruth/10678750_15.tif,22,False
42,masachussetts/images/10678765_15.tiff,masachussetts/groundtruth/10678765_15.tif,31,False
43,masachussetts/images/10678780_15.tiff,masachussetts/groundtruth/10678780_15.tif,45,False
44,masachussetts/images/10678795_15.tiff,masachussetts/groundtruth/10678795_15.tif,967341,True
45,masachussetts/images/10678810_15.tiff,masachussetts/groundtruth/10678810_15.tif,3270045,True
46,masachussetts/images/10678825_15.tiff,masachussetts/groundtruth/10678825_15.tif,5827006,True
47,masachussetts/images/10678870_15.tiff,masachussetts/groundtruth/10678870_15.tif,6123006,True
48,masachussetts/images/10678885_15.tiff,masachussetts/groundtruth/10678885_15.tif,6065400,True
49,masachussetts/images/10828645_15.tiff,masachussetts/groundtruth/10828645_15.tif,4068479,True
50,masachussetts/images/10828660_15.tiff,masachussetts/groundtruth/10828660_15.tif,462,False
51,masachussetts/images/10828675_15.tiff,masachussetts/groundtruth/10828675_15.tif,100,False
52,masachussetts/images/10828690_15.tiff,masachussetts/groundtruth/10828690_15.tif,150,False
53,masachussetts/images/10828705_15.tiff,masachussetts/groundtruth/10828705_15.tif,170,False
54,masachussetts/images/10828735_15.tiff,masachussetts/groundtruth/10828735_15.tif,202,False
55,masachussetts/images/10828750_15.tiff,masachussetts/groundtruth/10828750_15.tif,1833,False
56,masachussetts/images/10828765_15.tiff,masachussetts/groundtruth/10828765_15.tif,409,False
57,masachussetts/images/10828780_15.tiff,masachussetts/groundtruth/10828780_15.tif,186,False
58,masachussetts/images/10828795_15.tiff,masachussetts/groundtruth/10828795_15.tif,323,False
59,masachussetts/images/10828810_15.tiff,masachussetts/groundtruth/10828810_15.tif,507,False
60,masachussetts/images/10828825_15.tiff,masachussetts/groundtruth/10828825_15.tif,1929272,True
61,masachussetts/images/10828855_15.tiff,masachussetts/groundtruth/10828855_15.tif,4970111,True
62,masachussetts/images/10828870_15.tiff,masachussetts/groundtruth/10828870_15.tif,1043088,True
63,masachussetts/images/10828900_15.tiff,masachussetts/groundtruth/10828900_15.tif,2716855,True
64,masachussetts/images/10978645_15.tiff,masachussetts/groundtruth/10978645_15.tif,2428194,True
65,masachussetts/images/10978660_15.tiff,masachussetts/groundtruth/10978660_15.tif,23,False
66,masachussetts/images/10978675_15.tiff,masachussetts/groundtruth/10978675_15.tif,24,False
67,masachussetts/images/10978690_15.tiff,masachussetts/groundtruth/10978690_15.tif,47,False
68,masachussetts/images/10978705_15.tiff,masachussetts/groundtruth/10978705_15.tif,155,False
69,masachussetts/images/10978720_15.tiff,masachussetts/groundtruth/10978720_15.tif,111,False
70,masachussetts/images/10978750_15.tiff,masachussetts/groundtruth/10978750_15.tif,202,False
71,masachussetts/images/10978765_15.tiff,masachussetts/groundtruth/10978765_15.tif,65,False
72,masachussetts/images/10978780_15.tiff,masachussetts/groundtruth/10978780_15.tif,133,False
73,masachussetts/images/10978810_15.tiff,masachussetts/groundtruth/10978810_15.tif,277,False
74,masachussetts/images/10978825_15.tiff,masachussetts/groundtruth/10978825_15.tif,100,False
75,masachussetts/images/10978840_15.tiff,masachussetts/groundtruth/10978840_15.tif,2688635,True
76,masachussetts/images/10978855_15.tiff,masachussetts/groundtruth/10978855_15.tif,799571,True
77,masachussetts/images/10978870_15.tiff,masachussetts/groundtruth/10978870_15.tif,153,False
78,masachussetts/images/10978885_15.tiff,masachussetts/groundtruth/10978885_15.tif,54,False
79,masachussetts/images/10978900_15.tiff,masachussetts/groundtruth/10978900_15.tif,10,False
80,masachussetts/images/10978915_15.tiff,masachussetts/groundtruth/10978915_15.tif,820412,True
81,masachussetts/images/10978930_15.tiff,masachussetts/groundtruth/10978930_15.tif,274716,False
82,masachussetts/images/10978945_15.tiff,masachussetts/groundtruth/10978945_15.tif,3373224,True
83,masachussetts/images/11128645_15.tiff,masachussetts/groundtruth/11128645_15.tif,4551452,True
84,masachussetts/images/11128660_15.tiff,masachussetts/groundtruth/11128660_15.tif,69,False
85,masachussetts/images/11128675_15.tiff,masachussetts/groundtruth/11128675_15.tif,83,False
86,masachussetts/images/11128690_15.tiff,masachussetts/groundtruth/11128690_15.tif,108,False
87,masachussetts/images/11128705_15.tiff,masachussetts/groundtruth/11128705_15.tif,75,False
88,masachussetts/images/11128720_15.tiff,masachussetts/groundtruth/11128720_15.tif,214,False
89,masachussetts/images/11128735_15.tiff,masachussetts/groundtruth/11128735_15.tif,293,False
90,masachussetts/images/11128750_15.tiff,masachussetts/groundtruth/11128750_15.tif,189,False
91,masachussetts/images/11128765_15.tiff,masachussetts/groundtruth/11128765_15.tif,118,False
92,masachussetts/images/11128780_15.tiff,masachussetts/groundtruth/11128780_15.tif,169,False
93,masachussetts/images/11128795_15.tiff,masachussetts/groundtruth/11128795_15.tif,185,False
94,masachussetts/images/11128810_15.tiff,masachussetts/groundtruth/11128810_15.tif,270,False
95,masachussetts/images/11128825_15.tiff,masachussetts/groundtruth/11128825_15.tif,138,False
96,masachussetts/images/11128840_15.tiff,masachussetts/groundtruth/11128840_15.tif,179,False
97,masachussetts/images/11128855_15.tiff,masachussetts/groundtruth/11128855_15.tif,143,False
98,masachussetts/images/11128885_15.tiff,masachussetts/groundtruth/11128885_15.tif,74,False
99,masachussetts/images/11128900_15.tiff,masachussetts/groundtruth/11128900_15.tif,97,False
100,masachussetts/images/11128915_15.tiff,masachussetts/groundtruth/11128915_15.tif,5,False
101,masachussetts/images/11128930_15.tiff,masachussetts/groundtruth/11128930_15.tif,27,False
102,masachussetts/images/11128945_15.tiff,masachussetts/groundtruth/11128945_15.tif,45068,False
103,masachussetts/images/11278645_15.tiff,masachussetts/groundtruth/11278645_15.tif,5899044,True
104,masachussetts/images/11278660_15.tiff,masachussetts/groundtruth/11278660_15.tif,51,False
105,masachussetts/images/11278675_15.tiff,masachussetts/groundtruth/11278675_15.tif,249,False
106,masachussetts/images/11278690_15.tiff,masachussetts/groundtruth/11278690_15.tif,79,False
107,masachussetts/images/11278705_15.tiff,masachussetts/groundtruth/11278705_15.tif,217,False
108,masachussetts/images/11278720_15.tiff,masachussetts/groundtruth/11278720_15.tif,375,False
109,masachussetts/images/11278735_15.tiff,masachussetts/groundtruth/11278735_15.tif,811,False
110,masachussetts/images/11278750_15.tiff,masachussetts/groundtruth/11278750_15.tif,312,False
111,masachussetts/images/11278765_15.tiff,masachussetts/groundtruth/11278765_15.tif,1376,False
112,masachussetts/images/11278780_15.tiff,masachussetts/groundtruth/11278780_15.tif,204,False
113,masachussetts/images/11278795_15.tiff,masachussetts/groundtruth/11278795_15.tif,165,False
114,masachussetts/images/11278810_15.tiff,masachussetts/groundtruth/11278810_15.tif,1,False
115,masachussetts/images/11278825_15.tiff,masachussetts/groundtruth/11278825_15.tif,63,False
116,masachussetts/images/11278855_15.tiff,masachussetts/groundtruth/11278855_15.tif,359,False
117,masachussetts/images/11278870_15.tiff,masachussetts/groundtruth/11278870_15.tif,354634,False
118,masachussetts/images/11278885_15.tiff,masachussetts/groundtruth/11278885_15.tif,1707043,True
119,masachussetts/images/11278900_15.tiff,masachussetts/groundtruth/11278900_15.tif,2390913,True
120,masachussetts/images/11278915_15.tiff,masachussetts/groundtruth/11278915_15.tif,2802202,True
121,masachussetts/images/11278930_15.tiff,masachussetts/groundtruth/11278930_15.tif,1302184,True
122,masachussetts/images/11278945_15.tiff,masachussetts/groundtruth/11278945_15.tif,0,False
123,masachussetts/images/11428660_15.tiff,masachussetts/groundtruth/11428660_15.tif,76023,False
124,masachussetts/images/11428675_15.tiff,masachussetts/groundtruth/11428675_15.tif,237,False
125,masachussetts/images/11428690_15.tiff,masachussetts/groundtruth/11428690_15.tif,291,False
126,masachussetts/images/11428705_15.tiff,masachussetts/groundtruth/11428705_15.tif,383,False
127,masachussetts/images/11428720_15.tiff,masachussetts/groundtruth/11428720_15.tif,458,False
128,masachussetts/images/11428735_15.tiff,masachussetts/groundtruth/11428735_15.tif,217,False
129,masachussetts/images/11428750_15.tiff,masachussetts/groundtruth/11428750_15.tif,366,False
130,masachussetts/images/11428765_15.tiff,masachussetts/groundtruth/11428765_15.tif,355,False
131,masachussetts/images/11428780_15.tiff,masachussetts/groundtruth/11428780_15.tif,814,False
132,masachussetts/images/11428795_15.tiff,masachussetts/groundtruth/11428795_15.tif,41,False
133,masachussetts/images/11428810_15.tiff,masachussetts/groundtruth/11428810_15.tif,462,False
134,masachussetts/images/11428825_15.tiff,masachussetts/groundtruth/11428825_15.tif,20,False
135,masachussetts/images/11428840_15.tiff,masachussetts/groundtruth/11428840_15.tif,0,False
136,masachussetts/images/11428855_15.tiff,masachussetts/groundtruth/11428855_15.tif,0,False
137,masachussetts/images/11428930_15.tiff,masachussetts/groundtruth/11428930_15.tif,5489769,True
138,masachussetts/images/11428945_15.tiff,masachussetts/groundtruth/11428945_15.tif,1133411,True
139,masachussetts/images/11578660_15.tiff,masachussetts/groundtruth/11578660_15.tif,88270,False
140,masachussetts/images/11578675_15.tiff,masachussetts/groundtruth/11578675_15.tif,193,False
141,masachussetts/images/11578690_15.tiff,masachussetts/groundtruth/11578690_15.tif,110,False
142,masachussetts/images/11578705_15.tiff,masachussetts/groundtruth/11578705_15.tif,178,False
143,masachussetts/images/11578720_15.tiff,masachussetts/groundtruth/11578720_15.tif,132,False
144,masachussetts/images/11578735_15.tiff,masachussetts/groundtruth/11578735_15.tif,88,False
145,masachussetts/images/11578750_15.tiff,masachussetts/groundtruth/11578750_15.tif,144,False
146,masachussetts/images/11578765_15.tiff,masachussetts/groundtruth/11578765_15.tif,143,False
147,masachussetts/images/11578780_15.tiff,masachussetts/groundtruth/11578780_15.tif,699,False
148,masachussetts/images/11578795_15.tiff,masachussetts/groundtruth/11578795_15.tif,571,False
149,masachussetts/images/11578810_15.tiff,masachussetts/groundtruth/11578810_15.tif,83,False
150,masachussetts/images/11578825_15.tiff,masachussetts/groundtruth/11578825_15.tif,3,False
151,masachussetts/images/11578840_15.tiff,masachussetts/groundtruth/11578840_15.tif,0,False
152,masachussetts/images/11578855_15.tiff,masachussetts/groundtruth/11578855_15.tif,21,False
153,masachussetts/images/11728660_15.tiff,masachussetts/groundtruth/11728660_15.tif,19,False
154,masachussetts/images/11728675_15.tiff,masachussetts/groundtruth/11728675_15.tif,75,False
155,masachussetts/images/11728690_15.tiff,masachussetts/groundtruth/11728690_15.tif,220,False
156,masachussetts/images/11728705_15.tiff,masachussetts/groundtruth/11728705_15.tif,194,False
157,masachussetts/images/11728720_15.tiff,masachussetts/groundtruth/11728720_15.tif,696,False
158,masachussetts/images/11728735_15.tiff,masachussetts/groundtruth/11728735_15.tif,196,False
159,masachussetts/images/11728750_15.tiff,masachussetts/groundtruth/11728750_15.tif,291,False
160,masachussetts/images/11728765_15.tiff,masachussetts/groundtruth/11728765_15.tif,703,False
161,masachussetts/images/11728780_15.tiff,masachussetts/groundtruth/11728780_15.tif,554,False
162,masachussetts/images/11728795_15.tiff,masachussetts/groundtruth/11728795_15.tif,330,False
163,masachussetts/images/11728810_15.tiff,masachussetts/groundtruth/11728810_15.tif,421,False
164,masachussetts/images/11728840_15.tiff,masachussetts/groundtruth/11728840_15.tif,5,False
165,masachussetts/images/11728855_15.tiff,masachussetts/groundtruth/11728855_15.tif,29,False
166,masachussetts/images/11878660_15.tiff,masachussetts/groundtruth/11878660_15.tif,81,False
167,masachussetts/images/11878675_15.tiff,masachussetts/groundtruth/11878675_15.tif,192,False
168,masachussetts/images/11878690_15.tiff,masachussetts/groundtruth/11878690_15.tif,227,False
169,masachussetts/images/11878705_15.tiff,masachussetts/groundtruth/11878705_15.tif,267,False
170,masachussetts/images/11878720_15.tiff,masachussetts/groundtruth/11878720_15.tif,149,False
171,masachussetts/images/11878735_15.tiff,masachussetts/groundtruth/11878735_15.tif,352,False
172,masachussetts/images/11878750_15.tiff,masachussetts/groundtruth/11878750_15.tif,367,False
173,masachussetts/images/11878765_15.tiff,masachussetts/groundtruth/11878765_15.tif,87,False
174,masachussetts/images/11878780_15.tiff,masachussetts/groundtruth/11878780_15.tif,91066,False
175,masachussetts/images/11878795_15.tiff,masachussetts/groundtruth/11878795_15.tif,4526211,True
176,masachussetts/images/12028660_15.tiff,masachussetts/groundtruth/12028660_15.tif,1598943,True
177,masachussetts/images/12028675_15.tiff,masachussetts/groundtruth/12028675_15.tif,2673387,True
178,masachussetts/images/12028690_15.tiff,masachussetts/groundtruth/12028690_15.tif,3748809,True
179,masachussetts/images/12028705_15.tiff,masachussetts/groundtruth/12028705_15.tif,3662943,True
180,masachussetts/images/12028720_15.tiff,masachussetts/groundtruth/12028720_15.tif,39,False
181,masachussetts/images/12028735_15.tiff,masachussetts/groundtruth/12028735_15.tif,27,False
182,masachussetts/images/12028750_15.tiff,masachussetts/groundtruth/12028750_15.tif,102,False
183,masachussetts/images/12028765_15.tiff,masachussetts/groundtruth/12028765_15.tif,75,False
184,masachussetts/images/12028780_15.tiff,masachussetts/groundtruth/12028780_15.tif,466277,False
185,masachussetts/images/12178705_15.tiff,masachussetts/groundtruth/12178705_15.tif,6066870,True
186,masachussetts/images/12178720_15.tiff,masachussetts/groundtruth/12178720_15.tif,434,False
187,masachussetts/images/12178735_15.tiff,masachussetts/groundtruth/12178735_15.tif,275,False
188,masachussetts/images/12178750_15.tiff,masachussetts/groundtruth/12178750_15.tif,40,False
189,masachussetts/images/12178765_15.tiff,masachussetts/groundtruth/12178765_15.tif,2,False
190,masachussetts/images/12178780_15.tiff,masachussetts/groundtruth/12178780_15.tif,187914,False
191,masachussetts/images/12328720_15.tiff,masachussetts/groundtruth/12328720_15.tif,267682,False
192,masachussetts/images/12328735_15.tiff,masachussetts/groundtruth/12328735_15.tif,78,False
193,masachussetts/images/12328765_15.tiff,masachussetts/groundtruth/12328765_15.tif,169,False
194,masachussetts/images/12328780_15.tiff,masachussetts/groundtruth/12328780_15.tif,648,False
195,masachussetts/images/12478720_15.tiff,masachussetts/groundtruth/12478720_15.tif,4554508,True
196,masachussetts/images/12478735_15.tiff,masachussetts/groundtruth/12478735_15.tif,22,False
197,masachussetts/images/12478750_15.tiff,masachussetts/groundtruth/12478750_15.tif,14,False
198,masachussetts/images/12478765_15.tiff,masachussetts/groundtruth/12478765_15.tif,26,False
199,masachussetts/images/12478780_15.tiff,masachussetts/groundtruth/12478780_15.tif,219296,False
200,masachussetts/images/12478795_15.tiff,masachussetts/groundtruth/12478795_15.tif,2920775,True
201,masachussetts/images/12478810_15.tiff,masachussetts/groundtruth/12478810_15.tif,3837894,True
202,masachussetts/images/12628735_15.tiff,masachussetts/groundtruth/12628735_15.tif,171,False
203,masachussetts/images/12628750_15.tiff,masachussetts/groundtruth/12628750_15.tif,112,False
204,masachussetts/images/12628765_15.tiff,masachussetts/groundtruth/12628765_15.tif,519378,True
205,masachussetts/images/12628780_15.tiff,masachussetts/groundtruth/12628780_15.tif,1438753,True
206,masachussetts/images/12628795_15.tiff,masachussetts/groundtruth/12628795_15.tif,2338919,True
207,masachussetts/images/12628810_15.tiff,masachussetts/groundtruth/12628810_15.tif,3251975,True
208,masachussetts/images/15628825_15.tiff,masachussetts/groundtruth/15628825_15.tif,6140096,True
209,masachussetts/images/15628840_15.tiff,masachussetts/groundtruth/15628840_15.tif,5332417,True
210,masachussetts/images/15628855_15.tiff,masachussetts/groundtruth/15628855_15.tif,4524434,True
211,masachussetts/images/15628870_15.tiff,masachussetts/groundtruth/15628870_15.tif,3717276,True
212,masachussetts/images/15628885_15.tiff,masachussetts/groundtruth/15628885_15.tif,2899178,True
213,masachussetts/images/15628900_15.tiff,masachussetts/groundtruth/15628900_15.tif,2074125,True
214,masachussetts/images/15628915_15.tiff,masachussetts/groundtruth/15628915_15.tif,1264222,True
215,masachussetts/images/15628930_15.tiff,masachussetts/groundtruth/15628930_15.tif,453922,False
216,masachussetts/images/15628945_15.tiff,masachussetts/groundtruth/15628945_15.tif,1512,False
217,masachussetts/images/15628960_15.tiff,masachussetts/groundtruth/15628960_15.tif,5160910,True
218,masachussetts/images/15778825_15.tiff,masachussetts/groundtruth/15778825_15.tif,75,False
219,masachussetts/images/15778840_15.tiff,masachussetts/groundtruth/15778840_15.tif,68,False
220,masachussetts/images/15778855_15.tiff,masachussetts/groundtruth/15778855_15.tif,131,False
221,masachussetts/images/15778870_15.tiff,masachussetts/groundtruth/15778870_15.tif,533,False
222,masachussetts/images/15778885_15.tiff,masachussetts/groundtruth/15778885_15.tif,152,False
223,masachussetts/images/15778900_15.tiff,masachussetts/groundtruth/15778900_15.tif,176,False
224,masachussetts/images/15778915_15.tiff,masachussetts/groundtruth/15778915_15.tif,59,False
225,masachussetts/images/15778930_15.tiff,masachussetts/groundtruth/15778930_15.tif,1,False
226,masachussetts/images/15778945_15.tiff,masachussetts/groundtruth/15778945_15.tif,0,False
227,masachussetts/images/15778960_15.tiff,masachussetts/groundtruth/15778960_15.tif,4938109,True
228,masachussetts/images/15928825_15.tiff,masachussetts/groundtruth/15928825_15.tif,129,False
229,masachussetts/images/15928840_15.tiff,masachussetts/groundtruth/15928840_15.tif,45,False
230,masachussetts/images/15928870_15.tiff,masachussetts/groundtruth/15928870_15.tif,83,False
231,masachussetts/images/15928885_15.tiff,masachussetts/groundtruth/15928885_15.tif,323,False
232,masachussetts/images/15928900_15.tiff,masachussetts/groundtruth/15928900_15.tif,130,False
233,masachussetts/images/15928915_15.tiff,masachussetts/groundtruth/15928915_15.tif,32,False
234,masachussetts/images/15928930_15.tiff,masachussetts/groundtruth/15928930_15.tif,15,False
235,masachussetts/images/15928945_15.tiff,masachussetts/groundtruth/15928945_15.tif,8,False
236,masachussetts/images/15928960_15.tiff,masachussetts/groundtruth/15928960_15.tif,4737213,True
237,masachussetts/images/16078825_15.tiff,masachussetts/groundtruth/16078825_15.tif,265495,False
238,masachussetts/images/16078840_15.tiff,masachussetts/groundtruth/16078840_15.tif,114,False
239,masachussetts/images/16078855_15.tiff,masachussetts/groundtruth/16078855_15.tif,140,False
240,masachussetts/images/16078885_15.tiff,masachussetts/groundtruth/16078885_15.tif,274,False
241,masachussetts/images/16078900_15.tiff,masachussetts/groundtruth/16078900_15.tif,105,False
242,masachussetts/images/16078915_15.tiff,masachussetts/groundtruth/16078915_15.tif,131,False
243,masachussetts/images/16078930_15.tiff,masachussetts/groundtruth/16078930_15.tif,0,False
244,masachussetts/images/16078945_15.tiff,masachussetts/groundtruth/16078945_15.tif,165,False
245,masachussetts/images/16078960_15.tiff,masachussetts/groundtruth/16078960_15.tif,4548347,True
246,masachussetts/images/16228825_15.tiff,masachussetts/groundtruth/16228825_15.tif,858815,True
247,masachussetts/images/16228840_15.tiff,masachussetts/groundtruth/16228840_15.tif,75,False
248,masachussetts/images/16228855_15.tiff,masachussetts/groundtruth/16228855_15.tif,90,False
249,masachussetts/images/16228870_15.tiff,masachussetts/groundtruth/16228870_15.tif,98469,False
250,masachussetts/images/16228885_15.tiff,masachussetts/groundtruth/16228885_15.tif,1040060,True
251,masachussetts/images/16228900_15.tiff,masachussetts/groundtruth/16228900_15.tif,2160082,True
252,masachussetts/images/16228915_15.tiff,masachussetts/groundtruth/16228915_15.tif,3273225,True
253,masachussetts/images/16228930_15.tiff,masachussetts/groundtruth/16228930_15.tif,4385293,True
254,masachussetts/images/16228945_15.tiff,masachussetts/groundtruth/16228945_15.tif,5497198,True
255,masachussetts/images/16228960_15.tiff,masachussetts/groundtruth/16228960_15.tif,6581239,True
256,masachussetts/images/16378825_15.tiff,masachussetts/groundtruth/16378825_15.tif,4031961,True
257,masachussetts/images/16378840_15.tiff,masachussetts/groundtruth/16378840_15.tif,4384261,True
258,masachussetts/images/16378855_15.tiff,masachussetts/groundtruth/16378855_15.tif,5519807,True
259,masachussetts/images/16828900_15.tiff,masachussetts/groundtruth/16828900_15.tif,6634789,True
260,masachussetts/images/16828915_15.tiff,masachussetts/groundtruth/16828915_15.tif,4748034,True
261,masachussetts/images/16828930_15.tiff,masachussetts/groundtruth/16828930_15.tif,5730545,True
262,masachussetts/images/16978870_15.tiff,masachussetts/groundtruth/16978870_15.tif,5426296,True
263,masachussetts/images/16978885_15.tiff,masachussetts/groundtruth/16978885_15.tif,2958425,True
264,masachussetts/images/16978915_15.tiff,masachussetts/groundtruth/16978915_15.tif,231,False
265,masachussetts/images/16978930_15.tiff,masachussetts/groundtruth/16978930_15.tif,1015880,True
266,masachussetts/images/16978945_15.tiff,masachussetts/groundtruth/16978945_15.tif,6320226,True
267,masachussetts/images/17128870_15.tiff,masachussetts/groundtruth/17128870_15.tif,251717,False
268,masachussetts/images/17128885_15.tiff,masachussetts/groundtruth/17128885_15.tif,587,False
269,masachussetts/images/17128900_15.tiff,masachussetts/groundtruth/17128900_15.tif,575,False
270,masachussetts/images/17128915_15.tiff,masachussetts/groundtruth/17128915_15.tif,868,False
271,masachussetts/images/17128930_15.tiff,masachussetts/groundtruth/17128930_15.tif,360,False
272,masachussetts/images/17128945_15.tiff,masachussetts/groundtruth/17128945_15.tif,1886063,True
273,masachussetts/images/17128960_15.tiff,masachussetts/groundtruth/17128960_15.tif,6665979,True
274,masachussetts/images/17278750_15.tiff,masachussetts/groundtruth/17278750_15.tif,6152098,True
275,masachussetts/images/17278765_15.tiff,masachussetts/groundtruth/17278765_15.tif,2476504,True
276,masachussetts/images/17278780_15.tiff,masachussetts/groundtruth/17278780_15.tif,6150183,True
277,masachussetts/images/17278870_15.tiff,masachussetts/groundtruth/17278870_15.tif,1056861,True
278,masachussetts/images/17278885_15.tiff,masachussetts/groundtruth/17278885_15.tif,1222,False
279,masachussetts/images/17278900_15.tiff,masachussetts/groundtruth/17278900_15.tif,768,False
280,masachussetts/images/17278915_15.tiff,masachussetts/groundtruth/17278915_15.tif,600,False
281,masachussetts/images/17278930_15.tiff,masachussetts/groundtruth/17278930_15.tif,433,False
282,masachussetts/images/17278945_15.tiff,masachussetts/groundtruth/17278945_15.tif,644,False
283,masachussetts/images/17278960_15.tiff,masachussetts/groundtruth/17278960_15.tif,3018629,True
284,masachussetts/images/17428735_15.tiff,masachussetts/groundtruth/17428735_15.tif,5394429,True
285,masachussetts/images/17428750_15.tiff,masachussetts/groundtruth/17428750_15.tif,2352663,True
286,masachussetts/images/17428765_15.tiff,masachussetts/groundtruth/17428765_15.tif,23,False
287,masachussetts/images/17428780_15.tiff,masachussetts/groundtruth/17428780_15.tif,2589597,True
288,masachussetts/images/17428855_15.tiff,masachussetts/groundtruth/17428855_15.tif,5957261,True
289,masachussetts/images/17428870_15.tiff,masachussetts/groundtruth/17428870_15.tif,1063635,True
290,masachussetts/images/17428885_15.tiff,masachussetts/groundtruth/17428885_15.tif,658,False
291,masachussetts/images/17428900_15.tiff,masachussetts/groundtruth/17428900_15.tif,872,False
292,masachussetts/images/17428915_15.tiff,masachussetts/groundtruth/17428915_15.tif,695,False
293,masachussetts/images/17428930_15.tiff,masachussetts/groundtruth/17428930_15.tif,661,False
294,masachussetts/images/17428945_15.tiff,masachussetts/groundtruth/17428945_15.tif,378,False
295,masachussetts/images/17428960_15.tiff,masachussetts/groundtruth/17428960_15.tif,272,False
296,masachussetts/images/17428975_15.tiff,masachussetts/groundtruth/17428975_15.tif,4229499,True
297,masachussetts/images/17578720_15.tiff,masachussetts/groundtruth/17578720_15.tif,4280498,True
298,masachussetts/images/17578735_15.tiff,masachussetts/groundtruth/17578735_15.tif,4503,False
299,masachussetts/images/17578750_15.tiff,masachussetts/groundtruth/17578750_15.tif,37,False
300,masachussetts/images/17578765_15.tiff,masachussetts/groundtruth/17578765_15.tif,55,False
301,masachussetts/images/17578780_15.tiff,masachussetts/groundtruth/17578780_15.tif,46775,False
302,masachussetts/images/17578795_15.tiff,masachussetts/groundtruth/17578795_15.tif,5331084,True
303,masachussetts/images/17578840_15.tiff,masachussetts/groundtruth/17578840_15.tif,6050985,True
304,masachussetts/images/17578855_15.tiff,masachussetts/groundtruth/17578855_15.tif,232703,False
